City,Weather_conditions,Avg_Time_Taken
Urban,Cloudy,25.021978021978022
Urban,Fog,24.96414852752881
Urban,Windy,23.31701192718142
Urban,Stormy,23.312206572769952
Urban,NaN,22.735042735042736
Urban,Sandstorms,22.599881093935792
Urban,Sunny,19.525933609958507
Semi-Urban,Sunny,50.35
Semi-Urban,Windy,50.26086956521739
Semi-Urban,Sandstorms,50.2
Semi-Urban,Stormy,49.6
Semi-Urban,Cloudy,49.42553191489362
Semi-Urban,Fog,49.27272727272727
Semi-Urban,NaN,48.0
NaN,Cloudy,24.587209302325583
NaN,Fog,23.625730994152047
NaN,Sandstorms,22.412322274881518
NaN,Windy,22.221674876847292
NaN,Stormy,21.67676767676768
NaN,NaN,20.772727272727273
NaN,Sunny,18.887892376681613
Metropolitian,Fog,30.002378121284185
Metropolitian,Cloudy,29.924050632911392
Metropolitian,NaN,27.70378151260504
Metropolitian,Windy,26.957522755666606
Metropolitian,Sandstorms,26.906468374843218
Metropolitian,Stormy,26.700989049805724
Metropolitian,Sunny,22.754059870866758
